# rccl-tests version 2.18.3-develop:12b92a8ca6 rccl-headers=22606 rccl-library=23004
# Collective test starting: all_gather_perf
# nThread 1 nGpus 8 minBytes 8 maxBytes 2147483648 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 631327 on smci355-ccs-aus-m03-05 device  0 [0000:75:00] AMD Instinct MI355X
#  Rank  1 Group  0 Pid 631327 on smci355-ccs-aus-m03-05 device  1 [0000:05:00] AMD Instinct MI355X
#  Rank  2 Group  0 Pid 631327 on smci355-ccs-aus-m03-05 device  2 [0000:65:00] AMD Instinct MI355X
#  Rank  3 Group  0 Pid 631327 on smci355-ccs-aus-m03-05 device  3 [0000:15:00] AMD Instinct MI355X
#  Rank  4 Group  0 Pid 631327 on smci355-ccs-aus-m03-05 device  4 [0000:f5:00] AMD Instinct MI355X
#  Rank  5 Group  0 Pid 631327 on smci355-ccs-aus-m03-05 device  5 [0000:85:00] AMD Instinct MI355X
#  Rank  6 Group  0 Pid 631327 on smci355-ccs-aus-m03-05 device  6 [0000:e5:00] AMD Instinct MI355X
#  Rank  7 Group  0 Pid 631327 on smci355-ccs-aus-m03-05 device  7 [0000:95:00] AMD Instinct MI355X
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong  
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)          
           0             0      half    none      -1     0.76    0.00    0.00       0     2.02    0.00    0.00       0
           0             0      half    none      -1     1.21    0.00    0.00       0     1.06    0.00    0.00       0
           0             0      half    none      -1     0.89    0.00    0.00       0     0.83    0.00    0.00       0
           0             0      half    none      -1     0.74    0.00    0.00       0     0.74    0.00    0.00       0
         128             8      half    none      -1    60.56    0.00    0.00       0    62.70    0.00    0.00       0
         256            16      half    none      -1    60.73    0.00    0.00       0    59.45    0.00    0.00       0
         512            32      half    none      -1    59.16    0.01    0.01       0    58.54    0.01    0.01       0
        1024            64      half    none      -1    57.34    0.02    0.02       0    55.63    0.02    0.02       0
        2048           128      half    none      -1    47.70    0.04    0.04       0    52.45    0.04    0.03       0
        4096           256      half    none      -1    45.99    0.09    0.08       0    49.32    0.08    0.07       0
        8192           512      half    none      -1    68.68    0.12    0.10       0    72.00    0.11    0.10       0
       16384          1024      half    none      -1    45.27    0.36    0.32       0    42.49    0.39    0.34       0
       32768          2048      half    none      -1    42.77    0.77    0.67       0    42.38    0.77    0.68       0
       65536          4096      half    none      -1    43.38    1.51    1.32       0    43.13    1.52    1.33       0
      131072          8192      half    none      -1    43.91    2.98    2.61       0    43.80    2.99    2.62       0
      262144         16384      half    none      -1    45.12    5.81    5.08       0    45.78    5.73    5.01       0
      524288         32768      half    none      -1    49.05   10.69    9.35       0    49.61   10.57    9.25       0
     1048576         65536      half    none      -1    49.48   21.19   18.54       0    49.85   21.04   18.41       0
     2097152        131072      half    none      -1    49.94   41.99   36.74       0    50.55   41.48   36.30       0
     4194304        262144      half    none      -1    50.77   82.62   72.29       0    49.98   83.92   73.43       0
     8388608        524288      half    none      -1    59.55  140.86  123.25       0    58.00  144.62  126.54       0
    16777216       1048576      half    none      -1    84.37  198.86  174.00       0    82.67  202.94  177.57       0
    33554432       2097152      half    none      -1   134.88  248.77  217.67       0   132.56  253.12  221.48       0
    67108864       4194304      half    none      -1   233.48  287.43  251.50       0   230.58  291.04  254.66       0
   134217728       8388608      half    none      -1   434.27  309.06  270.43       0   425.02  315.79  276.32       0
   268435456      16777216      half    none      -1   805.05  333.44  291.76       0   788.72  340.34  297.80       0
   536870912      33554432      half    none      -1  1529.83  350.93  307.07       0  1515.71  354.20  309.93       0
  1073741824      67108864      half    none      -1  3049.15  352.14  308.13       0  2975.96  360.81  315.70       0
  2147483648     134217728      half    none      -1  6100.45  352.02  308.02       0  5902.13  363.85  318.37       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 83.534 
#
# Collective test concluded: all_gather_perf
#

