# rccl-tests version 2.18.3-develop:12b92a8ca6 rccl-headers=22606 rccl-library=23004
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 8 minBytes 8 maxBytes 2147483648 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 631163 on smci355-ccs-aus-m03-05 device  0 [0000:75:00] AMD Instinct MI355X
#  Rank  1 Group  0 Pid 631163 on smci355-ccs-aus-m03-05 device  1 [0000:05:00] AMD Instinct MI355X
#  Rank  2 Group  0 Pid 631163 on smci355-ccs-aus-m03-05 device  2 [0000:65:00] AMD Instinct MI355X
#  Rank  3 Group  0 Pid 631163 on smci355-ccs-aus-m03-05 device  3 [0000:15:00] AMD Instinct MI355X
#  Rank  4 Group  0 Pid 631163 on smci355-ccs-aus-m03-05 device  4 [0000:f5:00] AMD Instinct MI355X
#  Rank  5 Group  0 Pid 631163 on smci355-ccs-aus-m03-05 device  5 [0000:85:00] AMD Instinct MI355X
#  Rank  6 Group  0 Pid 631163 on smci355-ccs-aus-m03-05 device  6 [0000:e5:00] AMD Instinct MI355X
#  Rank  7 Group  0 Pid 631163 on smci355-ccs-aus-m03-05 device  7 [0000:95:00] AMD Instinct MI355X
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong  
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)          
           8             4  bfloat16     sum      -1    66.68    0.00    0.00       0    51.64    0.00    0.00       0
          16             8  bfloat16     sum      -1    52.12    0.00    0.00       0    59.09    0.00    0.00       0
          32            16  bfloat16     sum      -1    58.58    0.00    0.00       0    56.93    0.00    0.00       0
          64            32  bfloat16     sum      -1    57.18    0.00    0.00       0    46.61    0.00    0.00       0
         128            64  bfloat16     sum      -1    46.61    0.00    0.00       0    44.28    0.00    0.01       0
         256           128  bfloat16     sum      -1    45.26    0.01    0.01       0    45.42    0.01    0.01       0
         512           256  bfloat16     sum      -1    45.59    0.01    0.02       0    46.29    0.01    0.02       0
        1024           512  bfloat16     sum      -1    45.80    0.02    0.04       0    43.80    0.02    0.04       0
        2048          1024  bfloat16     sum      -1    45.37    0.05    0.08       0    43.91    0.05    0.08       0
        4096          2048  bfloat16     sum      -1    43.87    0.09    0.16       0    45.11    0.09    0.16       0
        8192          4096  bfloat16     sum      -1    44.35    0.18    0.32       0    45.96    0.18    0.31       0
       16384          8192  bfloat16     sum      -1    46.05    0.36    0.62       0    46.29    0.35    0.62       0
       32768         16384  bfloat16     sum      -1    44.96    0.73    1.28       0    46.71    0.70    1.23       0
       65536         32768  bfloat16     sum      -1    45.49    1.44    2.52       0    45.76    1.43    2.51       0
      131072         65536  bfloat16     sum      -1    47.93    2.73    4.79       0    48.36    2.71    4.74       0
      262144        131072  bfloat16     sum      -1    49.77    5.27    9.22       0    49.55    5.29    9.26       0
      524288        262144  bfloat16     sum      -1    52.95    9.90   17.33       0    53.19    9.86   17.25       0
     1048576        524288  bfloat16     sum      -1    70.99   14.77   25.85       0    64.23   16.33   28.57       0
     2097152       1048576  bfloat16     sum      -1    64.50   32.51   56.90       0    61.96   33.85   59.23       0
     4194304       2097152  bfloat16     sum      -1    78.19   53.64   93.87       0    75.94   55.23   96.66       0
     8388608       4194304  bfloat16     sum      -1   102.82   81.58  142.77       0   100.46   83.50  146.13       0
    16777216       8388608  bfloat16     sum      -1   153.19  109.52  191.65       0   150.98  111.12  194.46       0
    33554432      16777216  bfloat16     sum      -1   251.48  133.43  233.50       0   249.84  134.30  235.03       0
    67108864      33554432  bfloat16     sum      -1   478.17  140.35  245.60       0   474.01  141.58  247.76       0
   134217728      67108864  bfloat16     sum      -1   848.04  158.27  276.97       0   848.27  158.23  276.89       0
   268435456     134217728  bfloat16     sum      -1  1584.88  169.37  296.40       0  1585.58  169.30  296.27       0
   536870912     268435456  bfloat16     sum      -1  3045.13  176.30  308.53       0  3045.17  176.30  308.53       0
  1073741824     536870912  bfloat16     sum      -1  6041.21  177.74  311.04       0  6039.31  177.79  311.14       0
  2147483648    1073741824  bfloat16     sum      -1  12029.8  178.51  312.40       0  12033.4  178.46  312.30       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 87.605 
#
# Collective test concluded: all_reduce_perf
#

