# rccl-tests version 2.18.3-develop:12b92a8ca6 rccl-headers=22606 rccl-library=23004
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 8 minBytes 8 maxBytes 2147483648 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 630926 on smci355-ccs-aus-m03-05 device  0 [0000:75:00] AMD Instinct MI355X
#  Rank  1 Group  0 Pid 630926 on smci355-ccs-aus-m03-05 device  1 [0000:05:00] AMD Instinct MI355X
#  Rank  2 Group  0 Pid 630926 on smci355-ccs-aus-m03-05 device  2 [0000:65:00] AMD Instinct MI355X
#  Rank  3 Group  0 Pid 630926 on smci355-ccs-aus-m03-05 device  3 [0000:15:00] AMD Instinct MI355X
#  Rank  4 Group  0 Pid 630926 on smci355-ccs-aus-m03-05 device  4 [0000:f5:00] AMD Instinct MI355X
#  Rank  5 Group  0 Pid 630926 on smci355-ccs-aus-m03-05 device  5 [0000:85:00] AMD Instinct MI355X
#  Rank  6 Group  0 Pid 630926 on smci355-ccs-aus-m03-05 device  6 [0000:e5:00] AMD Instinct MI355X
#  Rank  7 Group  0 Pid 630926 on smci355-ccs-aus-m03-05 device  7 [0000:95:00] AMD Instinct MI355X
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong  
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)          
           8             4      half     sum      -1    67.02    0.00    0.00       0    52.83    0.00    0.00       0
          16             8      half     sum      -1    53.85    0.00    0.00       0    62.69    0.00    0.00       0
          32            16      half     sum      -1    61.46    0.00    0.00       0    64.29    0.00    0.00       0
          64            32      half     sum      -1    58.69    0.00    0.00       0    48.30    0.00    0.00       0
         128            64      half     sum      -1    48.68    0.00    0.00       0    46.24    0.00    0.00       0
         256           128      half     sum      -1    47.19    0.01    0.01       0    48.28    0.01    0.01       0
         512           256      half     sum      -1    47.52    0.01    0.02       0    45.95    0.01    0.02       0
        1024           512      half     sum      -1    46.46    0.02    0.04       0    49.05    0.02    0.04       0
        2048          1024      half     sum      -1    47.49    0.04    0.08       0    47.52    0.04    0.08       0
        4096          2048      half     sum      -1    48.32    0.08    0.15       0    46.56    0.09    0.15       0
        8192          4096      half     sum      -1    48.39    0.17    0.30       0    47.16    0.17    0.30       0
       16384          8192      half     sum      -1    48.99    0.33    0.59       0    48.95    0.33    0.59       0
       32768         16384      half     sum      -1    50.43    0.65    1.14       0    49.88    0.66    1.15       0
       65536         32768      half     sum      -1    50.92    1.29    2.25       0    51.15    1.28    2.24       0
      131072         65536      half     sum      -1    48.53    2.70    4.73       0    50.80    2.58    4.52       0
      262144        131072      half     sum      -1    53.38    4.91    8.59       0    50.74    5.17    9.04       0
      524288        262144      half     sum      -1    56.42    9.29   16.26       0    55.24    9.49   16.61       0
     1048576        524288      half     sum      -1    71.24   14.72   25.76       0    64.37   16.29   28.51       0
     2097152       1048576      half     sum      -1    64.20   32.67   57.17       0    61.70   33.99   59.48       0
     4194304       2097152      half     sum      -1    77.68   53.99   94.49       0    75.58   55.50   97.12       0
     8388608       4194304      half     sum      -1   101.07   83.00  145.24       0    98.60   85.07  148.88       0
    16777216       8388608      half     sum      -1   149.00  112.60  197.05       0   146.87  114.23  199.91       0
    33554432      16777216      half     sum      -1   243.35  137.89  241.30       0   241.97  138.67  242.67       0
    67108864      33554432      half     sum      -1   460.67  145.68  254.94       0   457.81  146.59  256.53       0
   134217728      67108864      half     sum      -1   811.91  165.31  289.29       0   811.54  165.39  289.43       0
   268435456     134217728      half     sum      -1  1511.04  177.65  310.89       0  1515.58  177.12  309.96       0
   536870912     268435456      half     sum      -1  2902.74  184.95  323.67       0  2902.96  184.94  323.64       0
  1073741824     536870912      half     sum      -1  5758.24  186.47  326.32       0  5761.31  186.37  326.15       0
  2147483648    1073741824      half     sum      -1  11471.9  187.19  327.59       0  11471.6  187.20  327.60       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 90.9046 
#
# Collective test concluded: all_reduce_perf
#

