# rccl-tests version 2.18.3-develop:12b92a8ca6 rccl-headers=22606 rccl-library=23004
# Collective test starting: alltoall_perf
# nThread 1 nGpus 8 minBytes 8 maxBytes 2147483648 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 631433 on smci355-ccs-aus-m03-05 device  0 [0000:75:00] AMD Instinct MI355X
#  Rank  1 Group  0 Pid 631433 on smci355-ccs-aus-m03-05 device  1 [0000:05:00] AMD Instinct MI355X
#  Rank  2 Group  0 Pid 631433 on smci355-ccs-aus-m03-05 device  2 [0000:65:00] AMD Instinct MI355X
#  Rank  3 Group  0 Pid 631433 on smci355-ccs-aus-m03-05 device  3 [0000:15:00] AMD Instinct MI355X
#  Rank  4 Group  0 Pid 631433 on smci355-ccs-aus-m03-05 device  4 [0000:f5:00] AMD Instinct MI355X
#  Rank  5 Group  0 Pid 631433 on smci355-ccs-aus-m03-05 device  5 [0000:85:00] AMD Instinct MI355X
#  Rank  6 Group  0 Pid 631433 on smci355-ccs-aus-m03-05 device  6 [0000:e5:00] AMD Instinct MI355X
#  Rank  7 Group  0 Pid 631433 on smci355-ccs-aus-m03-05 device  7 [0000:95:00] AMD Instinct MI355X
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong  
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)          
           0             0      half    none      -1     0.50    0.00    0.00       0     0.48    0.00    0.00    N/A
           0             0      half    none      -1     0.48    0.00    0.00       0     0.48    0.00    0.00    N/A
           0             0      half    none      -1     0.48    0.00    0.00       0     0.48    0.00    0.00    N/A
           0             0      half    none      -1     0.48    0.00    0.00       0     0.48    0.00    0.00    N/A
         128             8      half    none      -1    77.44    0.00    0.00       0    73.00    0.00    0.00    N/A
         256            16      half    none      -1    70.88    0.00    0.00       0    72.57    0.00    0.00    N/A
         512            32      half    none      -1    72.36    0.01    0.01       0    65.65    0.01    0.01    N/A
        1024            64      half    none      -1    64.87    0.02    0.01       0    64.37    0.02    0.01    N/A
        2048           128      half    none      -1    57.78    0.04    0.03       0    59.93    0.03    0.03    N/A
        4096           256      half    none      -1    57.72    0.07    0.06       0    58.47    0.07    0.06    N/A
        8192           512      half    none      -1   146.74    0.06    0.05       0   138.86    0.06    0.05    N/A
       16384          1024      half    none      -1   137.97    0.12    0.10       0   103.63    0.16    0.14    N/A
       32768          2048      half    none      -1    93.87    0.35    0.31       0    93.87    0.35    0.31    N/A
       65536          4096      half    none      -1    71.74    0.91    0.80       0    56.01    1.17    1.02    N/A
      131072          8192      half    none      -1    55.19    2.37    2.08       0    55.45    2.36    2.07    N/A
      262144         16384      half    none      -1    55.42    4.73    4.14       0    55.20    4.75    4.16    N/A
      524288         32768      half    none      -1    55.01    9.53    8.34       0    55.31    9.48    8.29    N/A
     1048576         65536      half    none      -1    56.66   18.51   16.19       0    56.85   18.45   16.14    N/A
     2097152        131072      half    none      -1    60.09   34.90   30.54       0    59.60   35.19   30.79    N/A
     4194304        262144      half    none      -1    65.26   64.27   56.24       0    66.09   63.46   55.53    N/A
     8388608        524288      half    none      -1    65.93  127.24  111.34       0    66.44  126.26  110.48    N/A
    16777216       1048576      half    none      -1    67.01  250.38  219.09       0    67.62  248.13  217.11    N/A
    33554432       2097152      half    none      -1   107.66  311.67  272.71       0   108.02  310.63  271.80    N/A
    67108864       4194304      half    none      -1   199.26  336.78  294.68       0   198.95  337.32  295.16    N/A
   134217728       8388608      half    none      -1   369.26  363.47  318.04       0   369.06  363.68  318.22    N/A
   268435456      16777216      half    none      -1   700.87  383.01  335.13       0   700.28  383.32  335.41    N/A
   536870912      33554432      half    none      -1  1367.45  392.61  343.53       0  1366.07  393.00  343.88    N/A
  1073741824      67108864      half    none      -1  2683.38  400.15  350.13       0  2682.28  400.31  350.27    N/A
  2147483648     134217728      half    none      -1  5339.65  402.18  351.90       0  5355.33  401.00  350.87    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 93.5735 
#
# Collective test concluded: alltoall_perf
#

