# rccl-tests version 2.18.3-develop:12b92a8ca6 rccl-headers=22606 rccl-library=23004
# Collective test starting: reduce_scatter_perf
# nThread 1 nGpus 8 minBytes 8 maxBytes 2147483648 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 631249 on smci355-ccs-aus-m03-05 device  0 [0000:75:00] AMD Instinct MI355X
#  Rank  1 Group  0 Pid 631249 on smci355-ccs-aus-m03-05 device  1 [0000:05:00] AMD Instinct MI355X
#  Rank  2 Group  0 Pid 631249 on smci355-ccs-aus-m03-05 device  2 [0000:65:00] AMD Instinct MI355X
#  Rank  3 Group  0 Pid 631249 on smci355-ccs-aus-m03-05 device  3 [0000:15:00] AMD Instinct MI355X
#  Rank  4 Group  0 Pid 631249 on smci355-ccs-aus-m03-05 device  4 [0000:f5:00] AMD Instinct MI355X
#  Rank  5 Group  0 Pid 631249 on smci355-ccs-aus-m03-05 device  5 [0000:85:00] AMD Instinct MI355X
#  Rank  6 Group  0 Pid 631249 on smci355-ccs-aus-m03-05 device  6 [0000:e5:00] AMD Instinct MI355X
#  Rank  7 Group  0 Pid 631249 on smci355-ccs-aus-m03-05 device  7 [0000:95:00] AMD Instinct MI355X
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong  
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)          
           0             0      half     sum      -1     0.67    0.00    0.00       0     0.67    0.00    0.00       0
           0             0      half     sum      -1     0.66    0.00    0.00       0     0.66    0.00    0.00       0
           0             0      half     sum      -1     0.66    0.00    0.00       0     0.67    0.00    0.00       0
           0             0      half     sum      -1     0.66    0.00    0.00       0     0.66    0.00    0.00       0
         128             8      half     sum      -1    60.79    0.00    0.00       0    60.25    0.00    0.00       0
         256            16      half     sum      -1    58.90    0.00    0.00       0    59.00    0.00    0.00       0
         512            32      half     sum      -1    58.54    0.01    0.01       0    53.45    0.01    0.01       0
        1024            64      half     sum      -1    52.80    0.02    0.02       0    53.01    0.02    0.02       0
        2048           128      half     sum      -1    46.72    0.04    0.04       0    46.71    0.04    0.04       0
        4096           256      half     sum      -1    46.76    0.09    0.08       0    47.34    0.09    0.08       0
        8192           512      half     sum      -1    45.06    0.18    0.16       0    46.02    0.18    0.16       0
       16384          1024      half     sum      -1    44.76    0.37    0.32       0    44.66    0.37    0.32       0
       32768          2048      half     sum      -1    44.98    0.73    0.64       0    47.25    0.69    0.61       0
       65536          4096      half     sum      -1    45.50    1.44    1.26       0    45.32    1.45    1.27       0
      131072          8192      half     sum      -1    49.13    2.67    2.33       0    48.42    2.71    2.37       0
      262144         16384      half     sum      -1    50.79    5.16    4.52       0    49.59    5.29    4.63       0
      524288         32768      half     sum      -1    52.21   10.04    8.79       0    53.99    9.71    8.50       0
     1048576         65536      half     sum      -1    54.66   19.18   16.79       0    55.31   18.96   16.59       0
     2097152        131072      half     sum      -1    53.07   39.52   34.58       0    52.87   39.67   34.71       0
     4194304        262144      half     sum      -1    54.59   76.83   67.23       0    52.53   79.84   69.86       0
     8388608        524288      half     sum      -1    55.72  150.55  131.73       0    55.01  152.50  133.44       0
    16777216       1048576      half     sum      -1    82.56  203.22  177.82       0    79.81  210.23  183.95       0
    33554432       2097152      half     sum      -1   131.50  255.17  223.27       0   125.99  266.32  233.03       0
    67108864       4194304      half     sum      -1   231.83  289.48  253.29       0   220.07  304.94  266.82       0
   134217728       8388608      half     sum      -1   433.36  309.72  271.00       0   410.80  326.73  285.89       0
   268435456      16777216      half     sum      -1   837.32  320.59  280.52       0   799.50  335.76  293.79       0
   536870912      33554432      half     sum      -1  1641.46  327.07  286.19       0  1576.20  340.61  298.04       0
  1073741824      67108864      half     sum      -1  3233.99  332.02  290.52       0  3155.31  340.30  297.76       0
  2147483648     134217728      half     sum      -1  5970.86  359.66  314.70       0  5944.73  361.24  316.09       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 82.9954 
#
# Collective test concluded: reduce_scatter_perf
#

