# rccl-tests version 2.18.3-develop:12b92a8ca6 rccl-headers=23004 rccl-library=23004
# Collective test starting: all_reduce_perf_mpi
# nThread 1 nGpus 1 minBytes 8 maxBytes 2147483648 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 0 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 2833372 on smci355-ccs-aus-m03-05 device  0 [0000:75:00] AMD Instinct MI355X
#  Rank  1 Group  0 Pid 2833373 on smci355-ccs-aus-m03-05 device  1 [0000:05:00] AMD Instinct MI355X
#  Rank  2 Group  0 Pid 2833375 on smci355-ccs-aus-m03-05 device  2 [0000:65:00] AMD Instinct MI355X
#  Rank  3 Group  0 Pid 2833376 on smci355-ccs-aus-m03-05 device  3 [0000:15:00] AMD Instinct MI355X
#  Rank  4 Group  0 Pid 2833379 on smci355-ccs-aus-m03-05 device  4 [0000:f5:00] AMD Instinct MI355X
#  Rank  5 Group  0 Pid 2833381 on smci355-ccs-aus-m03-05 device  5 [0000:85:00] AMD Instinct MI355X
#  Rank  6 Group  0 Pid 2833383 on smci355-ccs-aus-m03-05 device  6 [0000:e5:00] AMD Instinct MI355X
#  Rank  7 Group  0 Pid 2833386 on smci355-ccs-aus-m03-05 device  7 [0000:95:00] AMD Instinct MI355X
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong  
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)          
           8             2     float     sum      -1    17.62    0.00    0.00    N/A    16.84    0.00    0.00    N/A
          16             4     float     sum      -1     8.70    0.00    0.00    N/A     5.12    0.00    0.01    N/A
          32             8     float     sum      -1     6.64    0.00    0.01    N/A     4.85    0.01    0.01    N/A
          64            16     float     sum      -1     7.03    0.01    0.02    N/A     5.03    0.01    0.02    N/A
         128            32     float     sum      -1     7.57    0.02    0.03    N/A     4.83    0.03    0.05    N/A
         256            64     float     sum      -1     6.63    0.04    0.07    N/A     4.88    0.05    0.09    N/A
         512           128     float     sum      -1     6.46    0.08    0.14    N/A     4.88    0.10    0.18    N/A
        1024           256     float     sum      -1     6.82    0.15    0.26    N/A     4.97    0.21    0.36    N/A
        2048           512     float     sum      -1     6.28    0.33    0.57    N/A     5.04    0.41    0.71    N/A
        4096          1024     float     sum      -1     5.59    0.73    1.28    N/A     5.46    0.75    1.31    N/A
        8192          2048     float     sum      -1     6.95    1.18    2.06    N/A     6.13    1.34    2.34    N/A
       16384          4096     float     sum      -1     6.81    2.40    4.21    N/A     6.64    2.47    4.32    N/A
       32768          8192     float     sum      -1     6.91    4.74    8.30    N/A     6.65    4.92    8.62    N/A
       65536         16384     float     sum      -1     7.60    8.62   15.08    N/A     6.82    9.61   16.81    N/A
      131072         32768     float     sum      -1     7.67   17.08   29.89    N/A     7.49   17.49   30.61    N/A
      262144         65536     float     sum      -1    10.65   24.61   43.07    N/A    10.55   24.84   43.47    N/A
      524288        131072     float     sum      -1    12.39   42.31   74.04    N/A    12.10   43.33   75.83    N/A
     1048576        262144     float     sum      -1   172.51    6.08   10.64    N/A   171.50    6.11   10.70    N/A
     2097152        524288     float     sum      -1   219.14    9.57   16.75    N/A   217.97    9.62   16.84    N/A
     4194304       1048576     float     sum      -1   265.97   15.77   27.60    N/A   264.46   15.86   27.75    N/A
     8388608       2097152     float     sum      -1   406.35   20.64   36.13    N/A   405.01   20.71   36.25    N/A
    16777216       4194304     float     sum      -1   768.11   21.84   38.22    N/A   768.01   21.85   38.23    N/A
    33554432       8388608     float     sum      -1  1399.62   23.97   41.95    N/A  1390.62   24.13   42.23    N/A
    67108864      16777216     float     sum      -1  2829.30   23.72   41.51    N/A  2830.73   23.71   41.49    N/A
   134217728      33554432     float     sum      -1  5633.19   23.83   41.70    N/A  5614.60   23.91   41.83    N/A
   268435456      67108864     float     sum      -1  11643.0   23.06   40.35    N/A  11589.5   23.16   40.53    N/A
   536870912     134217728     float     sum      -1  2881.33  186.33  326.07    N/A  2883.05  186.22  325.88    N/A
  1073741824     268435456     float     sum      -1  5714.42  187.90  328.83    N/A  5725.78  187.53  328.17    N/A
  2147483648     536870912     float     sum      -1  11382.7  188.66  330.16    N/A  11388.2  188.57  330.00    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 50.4065 
#
# Collective test concluded: all_reduce_perf_mpi
#

