# rccl-tests version 2.18.3-develop:12b92a8ca6 rccl-headers=22606 rccl-library=23004
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 8 minBytes 4096 maxBytes 4194304 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 2020024 on smci355-ccs-aus-m03-05 device  0 [0000:75:00] AMD Instinct MI355X
#  Rank  1 Group  0 Pid 2020024 on smci355-ccs-aus-m03-05 device  1 [0000:05:00] AMD Instinct MI355X
#  Rank  2 Group  0 Pid 2020024 on smci355-ccs-aus-m03-05 device  2 [0000:65:00] AMD Instinct MI355X
#  Rank  3 Group  0 Pid 2020024 on smci355-ccs-aus-m03-05 device  3 [0000:15:00] AMD Instinct MI355X
#  Rank  4 Group  0 Pid 2020024 on smci355-ccs-aus-m03-05 device  4 [0000:f5:00] AMD Instinct MI355X
#  Rank  5 Group  0 Pid 2020024 on smci355-ccs-aus-m03-05 device  5 [0000:85:00] AMD Instinct MI355X
#  Rank  6 Group  0 Pid 2020024 on smci355-ccs-aus-m03-05 device  6 [0000:e5:00] AMD Instinct MI355X
#  Rank  7 Group  0 Pid 2020024 on smci355-ccs-aus-m03-05 device  7 [0000:95:00] AMD Instinct MI355X
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong  
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)          
        4096          2048      half     sum      -1    66.56    0.06    0.11       0    57.08    0.07    0.13       0
        8192          4096      half     sum      -1    58.56    0.14    0.24       0    57.26    0.14    0.25       0
       16384          8192      half     sum      -1    52.52    0.31    0.55       0    52.38    0.31    0.55       0
       32768         16384      half     sum      -1    59.26    0.55    0.97       0    59.60    0.55    0.96       0
       65536         32768      half     sum      -1    45.27    1.45    2.53       0    42.48    1.54    2.70       0
      131072         65536      half     sum      -1    43.35    3.02    5.29       0    42.90    3.06    5.35       0
      262144        131072      half     sum      -1    45.00    5.83   10.20       0    44.68    5.87   10.27       0
      524288        262144      half     sum      -1    48.86   10.73   18.78       0    48.09   10.90   19.08       0
     1048576        524288      half     sum      -1    62.29   16.83   29.46       0    61.51   17.05   29.83       0
     2097152       1048576      half     sum      -1    61.14   34.30   60.03       0    61.07   34.34   60.10       0
     4194304       2097152      half     sum      -1  1636.16    2.56    4.49       0   654.91    6.40   11.21       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 12.4115 
#
# Collective test concluded: all_reduce_perf
#

