# rccl-tests version 2.18.3-develop:12b92a8ca6 rccl-headers=22606 rccl-library=23004
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 8 minBytes 4096 maxBytes 4194304 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 2020227 on smci355-ccs-aus-m03-05 device  0 [0000:75:00] AMD Instinct MI355X
#  Rank  1 Group  0 Pid 2020227 on smci355-ccs-aus-m03-05 device  1 [0000:05:00] AMD Instinct MI355X
#  Rank  2 Group  0 Pid 2020227 on smci355-ccs-aus-m03-05 device  2 [0000:65:00] AMD Instinct MI355X
#  Rank  3 Group  0 Pid 2020227 on smci355-ccs-aus-m03-05 device  3 [0000:15:00] AMD Instinct MI355X
#  Rank  4 Group  0 Pid 2020227 on smci355-ccs-aus-m03-05 device  4 [0000:f5:00] AMD Instinct MI355X
#  Rank  5 Group  0 Pid 2020227 on smci355-ccs-aus-m03-05 device  5 [0000:85:00] AMD Instinct MI355X
#  Rank  6 Group  0 Pid 2020227 on smci355-ccs-aus-m03-05 device  6 [0000:e5:00] AMD Instinct MI355X
#  Rank  7 Group  0 Pid 2020227 on smci355-ccs-aus-m03-05 device  7 [0000:95:00] AMD Instinct MI355X
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong  
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)          
        4096          2048      half     sum      -1    65.77    0.06    0.11       0    62.43    0.07    0.11       0
        8192          4096      half     sum      -1    63.16    0.13    0.23       0    62.63    0.13    0.23       0
       16384          8192      half     sum      -1    51.96    0.32    0.55       0    52.28    0.31    0.55       0
       32768         16384      half     sum      -1    60.23    0.54    0.95       0    60.27    0.54    0.95       0
       65536         32768      half     sum      -1    46.10    1.42    2.49       0    45.48    1.44    2.52       0
      131072         65536      half     sum      -1    47.26    2.77    4.85       0    51.21    2.56    4.48       0
      262144        131072      half     sum      -1    50.16    5.23    9.15       0    48.59    5.40    9.44       0
      524288        262144      half     sum      -1    51.92   10.10   17.67       0    51.35   10.21   17.87       0
     1048576        524288      half     sum      -1    63.07   16.63   29.09       0    62.77   16.70   29.23       0
     2097152       1048576      half     sum      -1    61.48   34.11   59.70       0    61.58   34.05   59.59       0
     4194304       2097152      half     sum      -1    75.27   55.72   97.51       0    75.37   55.65   97.39       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 20.2121 
#
# Collective test concluded: all_reduce_perf
#

