# rccl-tests version 2.18.3-develop:12b92a8ca6 rccl-headers=23004 rccl-library=23004
# Collective test starting: all_reduce_perf_mpi
# nThread 1 nGpus 1 minBytes 8 maxBytes 67108864 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 2715487 on smci355-ccs-aus-m03-05 device  0 [0000:75:00] AMD Instinct MI355X
#  Rank  1 Group  0 Pid 2715488 on smci355-ccs-aus-m03-05 device  1 [0000:05:00] AMD Instinct MI355X
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong  
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)          
           8             2     float     sum      -1     8.78    0.00    0.00       0     9.72    0.00    0.00       0
          16             4     float     sum      -1     9.38    0.00    0.00       0     8.89    0.00    0.00       0
          32             8     float     sum      -1     9.55    0.00    0.00       0     9.95    0.00    0.00       0
          64            16     float     sum      -1     9.68    0.01    0.01       0    10.31    0.01    0.01       0
         128            32     float     sum      -1     9.60    0.01    0.01       0     9.53    0.01    0.01       0
         256            64     float     sum      -1     9.66    0.03    0.03       0     9.45    0.03    0.03       0
         512           128     float     sum      -1     9.95    0.05    0.05       0     9.80    0.05    0.05       0
        1024           256     float     sum      -1     9.95    0.10    0.10       0     9.57    0.11    0.11       0
        2048           512     float     sum      -1    10.11    0.20    0.20       0    10.05    0.20    0.20       0
        4096          1024     float     sum      -1    11.18    0.37    0.37       0    10.66    0.38    0.38       0
        8192          2048     float     sum      -1    11.65    0.70    0.70       0    10.99    0.75    0.75       0
       16384          4096     float     sum      -1    13.14    1.25    1.25       0    12.38    1.32    1.32       0
       32768          8192     float     sum      -1    15.97    2.05    2.05       0    15.69    2.09    2.09       0
       65536         16384     float     sum      -1    16.90    3.88    3.88       0    16.48    3.98    3.98       0
      131072         32768     float     sum      -1    17.45    7.51    7.51       0    17.14    7.65    7.65       0
      262144         65536     float     sum      -1    19.34   13.55   13.55       0    19.11   13.72   13.72       0
      524288        131072     float     sum      -1    23.63   22.19   22.19       0    23.57   22.25   22.25       0
     1048576        262144     float     sum      -1    31.99   32.78   32.78       0    31.49   33.30   33.30       0
     2097152        524288     float     sum      -1    49.82   42.09   42.09       0    49.26   42.57   42.57       0
     4194304       1048576     float     sum      -1    84.73   49.50   49.50       0    84.38   49.71   49.71       0
     8388608       2097152     float     sum      -1   154.90   54.15   54.15       0   154.42   54.32   54.32       0
    16777216       4194304     float     sum      -1   295.15   56.84   56.84       0   294.93   56.89   56.89       0
    33554432       8388608     float     sum      -1   576.30   58.22   58.22       0   576.39   58.21   58.21       0
    67108864      16777216     float     sum      -1  1205.85   55.65   55.65       0  1205.32   55.68   55.68       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 16.7579 
#
# Collective test concluded: all_reduce_perf_mpi
#

