# rccl-tests version 2.18.3-develop:12b92a8ca6 rccl-headers=22606 rccl-library=23004
# Collective test starting: reduce_scatter_perf
# nThread 1 nGpus 8 minBytes 262144 maxBytes 67108864 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1229806 on smci355-ccs-aus-m03-05 device  0 [0000:75:00] AMD Instinct MI355X
#  Rank  1 Group  0 Pid 1229806 on smci355-ccs-aus-m03-05 device  1 [0000:05:00] AMD Instinct MI355X
#  Rank  2 Group  0 Pid 1229806 on smci355-ccs-aus-m03-05 device  2 [0000:65:00] AMD Instinct MI355X
#  Rank  3 Group  0 Pid 1229806 on smci355-ccs-aus-m03-05 device  3 [0000:15:00] AMD Instinct MI355X
#  Rank  4 Group  0 Pid 1229806 on smci355-ccs-aus-m03-05 device  4 [0000:f5:00] AMD Instinct MI355X
#  Rank  5 Group  0 Pid 1229806 on smci355-ccs-aus-m03-05 device  5 [0000:85:00] AMD Instinct MI355X
#  Rank  6 Group  0 Pid 1229806 on smci355-ccs-aus-m03-05 device  6 [0000:e5:00] AMD Instinct MI355X
#  Rank  7 Group  0 Pid 1229806 on smci355-ccs-aus-m03-05 device  7 [0000:95:00] AMD Instinct MI355X
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong  
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)          
      262144          8192     float     sum      -1    68.25    3.84    3.36       0   145.84    1.80    1.57       0
      524288         16384     float     sum      -1   154.29    3.40    2.97       0    91.61    5.72    5.01       0
     1048576         32768     float     sum      -1    92.28   11.36    9.94       0   107.07    9.79    8.57       0
     2097152         65536     float     sum      -1    61.60   34.05   29.79       0    61.36   34.18   29.91       0
     4194304        131072     float     sum      -1    48.77   85.99   75.24       0    48.42   86.63   75.80       0
     8388608        262144     float     sum      -1    54.13  154.96  135.59       0    52.80  158.87  139.01       0
    16777216        524288     float     sum      -1    80.29  208.97  182.85       0    76.63  218.94  191.57       0
    33554432       1048576     float     sum      -1   130.29  257.54  225.35       0   123.92  270.78  236.93       0
    67108864       2097152     float     sum      -1   226.05  296.87  259.77       0   221.46  303.03  265.15       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 104.355 
#
# Collective test concluded: reduce_scatter_perf
#

